City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
126,Plettenberg Bay,ZA,2021-09-28 23:55:41,-34.0527,23.3716,55.2,72,99,6.02
127,Milas,TR,2021-09-28 23:55:42,37.3164,27.7839,63.75,63,0,0.0
128,Arica,CL,2021-09-28 23:55:42,-18.475,-70.3042,63.95,77,0,6.91
129,Kodiak,US,2021-09-28 23:55:42,57.79,-152.4072,47.39,74,100,11.36
130,Grass Valley,US,2021-09-28 23:51:13,39.2191,-121.0611,73.06,31,1,1.01
131,Nexo,DK,2021-09-28 23:55:43,55.0607,15.1306,57.29,91,100,7.27
132,Mezen,RU,2021-09-28 23:55:43,65.8522,44.24,43.45,97,96,4.34
133,Coihaique,CL,2021-09-28 23:55:43,-45.5752,-72.0662,48.15,57,75,5.75
134,Pevek,RU,2021-09-28 23:55:43,69.7008,170.3133,23.22,83,95,3.36
135,Bathsheba,BB,2021-09-28 23:55:44,13.2167,-59.5167,81.21,83,40,4.61
136,Dera Bugti,PK,2021-09-28 23:55:44,29.0307,69.151,84.6,49,1,4.29
137,Port Hardy,CA,2021-09-28 23:55:44,50.6996,-127.4199,53.78,71,75,6.91
138,Tourlaville,FR,2021-09-28 23:55:45,49.6383,-1.5664,57.79,82,75,13.8
139,Saint Anthony,US,2021-09-28 23:53:37,45.0205,-93.218,77.76,54,20,1.99
140,Coquimbo,CL,2021-09-28 23:55:45,-29.9533,-71.3436,55.13,94,40,8.05
141,Tomball,US,2021-09-28 23:55:45,30.0972,-95.6161,79.27,87,40,17.27
142,Guerrero Negro,MX,2021-09-28 23:55:45,27.9769,-114.0611,72.57,66,18,16.82
143,Yantal,RU,2021-09-28 23:55:46,56.8471,105.2542,30.43,97,99,4.0
144,Tabuk,PH,2021-09-28 23:55:46,17.4189,121.4443,78.85,82,59,2.21
145,Nantucket,US,2021-09-28 23:51:29,41.2835,-70.0995,66.99,91,78,19.35
146,Khatanga,RU,2021-09-28 23:55:47,71.9667,102.5,27.21,70,100,8.05
147,Airai,TL,2021-09-28 23:55:47,-8.9266,125.4092,73.13,39,29,3.06
148,Saldanha,ZA,2021-09-28 23:55:47,-33.0117,17.9442,57.25,80,0,25.5
149,Mayo,US,2021-09-28 23:50:52,38.8876,-76.5119,76.08,78,20,1.01
150,Sundumbili,ZA,2021-09-28 23:55:48,-29.1337,31.3975,66.51,86,98,4.23
151,Bontang,ID,2021-09-28 23:55:48,0.1333,117.5,79.29,86,91,4.85
152,Thompson,CA,2021-09-28 23:55:48,55.7435,-97.8558,64.56,45,20,9.22
153,Ketchikan,US,2021-09-28 23:55:47,55.3422,-131.6461,53.58,75,96,12.84
154,Batticaloa,LK,2021-09-28 23:55:49,7.7102,81.6924,80.49,65,91,8.48
155,Mar Del Plata,AR,2021-09-28 23:52:20,-38.0023,-57.5575,54.12,74,0,14.0
156,Te Anau,NZ,2021-09-28 23:55:49,-45.4167,167.7167,48.7,87,87,6.31
157,Guarapari,BR,2021-09-28 23:55:49,-20.6667,-40.4975,75.09,89,0,11.32
158,Lompoc,US,2021-09-28 23:55:50,34.6391,-120.4579,80.1,58,1,14.97
159,Grand Gaube,MU,2021-09-28 23:55:50,-20.0064,57.6608,72.0,71,57,8.99
160,Verkhoyansk,RU,2021-09-28 23:55:50,67.5447,133.385,26.58,72,36,2.28
161,Longyearbyen,SJ,2021-09-28 23:55:42,78.2186,15.6401,37.24,70,90,14.97
162,Leningradskiy,RU,2021-09-28 23:55:22,69.3833,178.4167,24.66,96,100,12.28
163,Kavieng,PG,2021-09-28 23:55:51,-2.5744,150.7967,84.7,70,57,7.72
164,Udachnyy,RU,2021-09-28 23:55:51,66.4167,112.4,26.91,81,100,3.71
165,Saint-Philippe,RE,2021-09-28 23:55:51,-21.3585,55.7679,71.15,76,46,13.91
166,Kenora,CA,2021-09-28 23:55:51,49.8167,-94.4337,75.18,56,20,6.91
167,Nyaunglebin,MM,2021-09-28 23:55:52,17.95,96.7333,74.03,94,93,3.27
168,Beloha,MG,2021-09-28 23:55:52,-25.1667,45.05,70.34,58,36,2.64
169,Hobyo,SO,2021-09-28 23:55:52,5.3505,48.5268,78.28,84,8,24.45
170,Hermiston,US,2021-09-28 23:51:25,45.8404,-119.2895,69.64,45,1,17.27
171,Koslan,RU,2021-09-28 23:55:53,63.4564,48.8989,39.99,97,95,2.86
172,Vitim,RU,2021-09-28 23:55:53,59.4511,112.5578,33.76,96,99,5.64
173,Puerto Ayora,EC,2021-09-28 23:55:54,-0.7393,-90.3518,70.02,89,77,7.63
174,Getulio Vargas,UY,2021-09-28 23:55:54,-32.6796,-53.5494,58.57,91,100,11.43
175,Nelson Bay,AU,2021-09-28 23:55:54,-32.7167,152.15,71.29,67,99,3.0
176,Kandrian,PG,2021-09-28 23:55:54,-6.2167,149.55,84.81,70,99,6.46
177,Sabrum,IN,2021-09-28 23:55:55,23.0,91.7319,75.56,89,100,2.59
178,Richards Bay,ZA,2021-09-28 23:55:55,-28.783,32.0377,68.16,81,88,5.97
179,Valentin Gomez Farias,MX,2021-09-28 23:55:55,28.2167,-106.5833,73.8,33,56,15.93
180,Half Moon Bay,US,2021-09-28 23:55:56,37.4636,-122.4286,80.42,51,20,21.85
181,Ruthin,GB,2021-09-28 23:55:56,53.1137,-3.3178,51.37,92,79,1.01
182,Carnarvon,AU,2021-09-28 23:55:56,-24.8667,113.6333,59.07,94,16,3.44
183,Patacamaya,BO,2021-09-28 23:55:57,-17.2333,-67.9167,47.23,74,50,8.03
184,Arauca,CO,2021-09-28 23:55:57,7.0847,-70.7591,75.18,91,100,2.95
185,Sao Jose Da Coroa Grande,BR,2021-09-28 23:55:58,-8.8978,-35.1478,75.67,81,30,9.89
186,Bengkulu,ID,2021-09-28 23:55:58,-3.8004,102.2655,75.65,90,83,3.22
187,Lata,PT,2021-09-28 23:55:50,40.1629,-8.3327,58.82,94,4,3.18
188,Kiama,AU,2021-09-28 23:52:13,-34.6833,150.8667,69.39,73,100,8.01
189,Moranbah,AU,2021-09-28 23:55:58,-22.0016,148.0466,78.04,45,28,11.63
190,San Cristobal,VE,2021-09-28 23:55:59,7.7669,-72.225,77.18,97,88,2.06
191,Muros,ES,2021-09-28 23:55:49,42.7762,-9.0603,61.84,93,32,1.52
192,Namatanai,PG,2021-09-28 23:55:59,-3.6667,152.4333,85.8,67,81,6.29
193,San Rafael Del Sur,NI,2021-09-28 23:55:59,11.8485,-86.4384,83.37,75,99,6.87
194,Ardakan,IR,2021-09-28 23:56:00,32.31,54.0175,75.58,18,0,4.88
195,Flinders,AU,2021-09-28 23:56:00,-34.5833,150.8552,70.21,72,100,4.0
196,Galveston,US,2021-09-28 23:56:00,29.3669,-94.9669,76.17,94,82,17.45
197,East London,ZA,2021-09-28 23:56:01,-33.0153,27.9116,61.92,76,100,8.48
198,Pangnirtung,CA,2021-09-28 23:56:01,66.1451,-65.7125,34.75,56,100,2.95
199,Gallup,US,2021-09-28 23:56:01,35.5281,-108.7426,57.04,88,40,0.0
200,Torbay,CA,2021-09-28 23:56:02,47.6666,-52.7314,62.67,91,90,17.27
201,Yamada,JP,2021-09-28 23:56:02,39.4667,141.95,67.75,78,70,7.94
202,Hope,US,2021-09-28 23:56:02,33.6671,-93.5916,84.94,73,91,7.7
203,Lavrentiya,RU,2021-09-28 23:56:03,65.5833,-171.0,33.87,74,100,9.53
204,Adrar,MR,2021-09-28 23:56:03,20.5022,-10.0711,90.79,9,0,7.38
205,Saveh,IR,2021-09-28 23:56:04,35.0213,50.3566,69.98,37,0,3.96
206,Tuktoyaktuk,CA,2021-09-28 23:56:04,69.4541,-133.0374,33.8,100,90,12.66
207,Arona,ES,2021-09-28 23:56:04,28.0996,-16.681,68.72,66,0,14.97
208,Sambava,MG,2021-09-28 23:56:05,-14.2667,50.1667,70.3,89,56,10.09
209,Yuanping,CN,2021-09-28 23:56:05,38.7153,112.7575,62.08,68,0,0.31
210,La Ronge,CA,2021-09-28 23:56:05,55.1001,-105.2842,64.65,63,75,8.05
211,Nioro,GM,2021-09-28 23:56:06,13.35,-15.75,77.74,87,2,6.87
212,Maningrida,AU,2021-09-28 23:56:06,-12.0667,134.2667,85.32,60,72,7.67
213,Hithadhoo,MV,2021-09-28 23:56:06,-0.6,73.0833,82.13,73,61,11.99
214,Santa Rosalia,MX,2021-09-28 23:56:06,27.3167,-112.2833,82.83,42,0,1.92
215,Socorro,US,2021-09-28 23:55:56,31.6546,-106.3033,81.59,31,75,12.66
216,Novo Aripuana,BR,2021-09-28 23:56:07,-5.1206,-60.3797,77.16,81,99,0.54
217,Cravo Norte,CO,2021-09-28 23:56:07,6.3017,-70.2041,81.32,75,100,2.57
218,Upernavik,GL,2021-09-28 23:56:07,72.7868,-56.1549,26.78,50,28,4.74
219,Ribeira Grande,PT,2021-09-28 23:56:08,38.5167,-28.7,72.1,87,20,14.54
220,Ghanzi,BW,2021-09-28 23:56:08,-21.5667,21.7833,71.46,16,1,11.34
221,Ancud,CL,2021-09-28 23:56:08,-41.8697,-73.8203,51.33,79,86,2.64
222,Conde,BR,2021-09-28 23:56:09,-7.2597,-34.9075,74.66,94,90,11.5
223,Dunedin,NZ,2021-09-28 23:54:51,-45.8742,170.5036,57.83,53,68,5.64
224,Binga,ZW,2021-09-28 23:56:09,-17.6203,27.3414,74.1,39,8,2.26
225,Bilibino,RU,2021-09-28 23:56:09,68.0546,166.4372,15.66,87,97,2.91
226,Hualmay,PE,2021-09-28 23:56:10,-11.0964,-77.6139,62.85,83,55,7.72
227,Padre Paraiso,BR,2021-09-28 23:56:10,-17.0742,-41.4844,64.29,86,25,3.13
228,Kaitangata,NZ,2021-09-28 23:55:39,-46.2817,169.8464,57.92,52,40,10.69
229,Bethel,US,2021-09-28 23:55:40,41.3712,-73.414,67.73,91,100,5.57
230,Igrim,RU,2021-09-28 23:56:10,63.1906,64.4162,30.87,92,62,2.21
231,Victoria,HK,2021-09-28 23:55:21,22.2855,114.1577,85.24,83,6,1.01
232,Cortez,US,2021-09-28 23:56:11,37.3489,-108.5859,67.51,63,73,10.33
233,Acobamba,PE,2021-09-28 23:56:11,-11.3525,-75.6594,54.1,84,49,4.72
234,Yar-Sale,RU,2021-09-28 23:56:11,66.8333,70.8333,36.07,98,100,4.72
235,Mecca,SA,2021-09-28 23:52:05,21.4267,39.8261,81.99,55,52,5.77
236,Tabou,CI,2021-09-28 23:55:38,4.423,-7.3528,77.5,87,99,5.12
237,Anzio,IT,2021-09-28 23:56:12,41.4853,12.6179,74.39,91,58,6.82
238,San Carlos De Bariloche,AR,2021-09-28 23:56:12,-41.1456,-71.3082,49.75,29,0,4.61
239,Betare Oya,CM,2021-09-28 23:56:12,5.6,14.0833,66.97,97,100,2.01
240,Thunder Bay,CA,2021-09-28 23:56:12,48.4001,-89.3168,64.38,68,20,4.61
241,Sinnamary,GF,2021-09-28 23:56:13,5.3833,-52.95,79.32,81,32,9.71
242,Namie,JP,2021-09-28 23:56:13,37.4833,141.0,73.96,77,45,2.35
243,Savannah Bight,HN,2021-09-28 23:56:13,16.45,-85.85,86.05,69,24,14.23
244,Celestun,MX,2021-09-28 23:56:14,20.8667,-90.4,83.88,72,31,15.41
245,Livingston,GB,2021-09-28 23:56:14,55.9029,-3.5226,46.11,89,0,5.75
246,Aklavik,CA,2021-09-28 23:56:14,68.2191,-135.0107,32.83,94,100,20.67
247,Hue,VN,2021-09-28 23:56:14,16.4667,107.6,78.91,94,20,2.3
248,Mwinilunga,ZM,2021-09-28 23:56:15,-11.7358,24.4293,67.68,58,34,2.68
249,Solnechnyy,RU,2021-09-28 23:56:15,50.7214,136.6319,60.57,73,15,11.16
