City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
144,Mount Isa,AU,2021-10-10 21:24:52,-20.7333,139.5,67.77,100,90,5.75,moderate rain
145,Esparta,HN,2021-10-10 21:24:52,15.7437,-87.1766,95.79,68,25,6.93,scattered clouds
146,San Andres,CO,2021-10-10 21:24:52,12.5847,-81.7006,87.82,74,20,11.5,few clouds
147,Dossor,KZ,2021-10-10 21:20:15,47.5272,52.9811,50.5,35,7,6.4,clear sky
148,Salinopolis,BR,2021-10-10 21:24:53,-0.6136,-47.3561,81.43,75,76,13.04,broken clouds
149,Naro,IT,2021-10-10 21:24:53,37.2935,13.7936,56.55,65,0,7.05,clear sky
150,Milkovo,RU,2021-10-10 21:24:53,54.7167,158.6167,33.22,76,100,4.47,overcast clouds
151,Dawlatabad,AF,2021-10-10 21:23:38,36.4141,64.9053,46.6,35,0,3.91,clear sky
152,Savona,IT,2021-10-10 21:24:54,44.3,8.2667,57.29,83,0,4.83,clear sky
153,Altamont,US,2021-10-10 21:24:54,42.2068,-121.7372,61.77,55,1,11.01,clear sky
154,Ribeira Grande,PT,2021-10-10 21:23:19,38.5167,-28.7,70.9,89,100,23.15,overcast clouds
155,Fairbanks,US,2021-10-10 21:24:54,64.8378,-147.7164,37.36,95,90,0.0,mist
156,Mayor Pablo Lagerenza,PY,2021-10-10 21:24:55,-19.9309,-60.7718,83.03,53,69,8.66,broken clouds
157,Saint Anthony,US,2021-10-10 21:24:55,45.0205,-93.218,70.11,62,90,5.99,overcast clouds
158,Arlit,NE,2021-10-10 21:24:55,18.7369,7.3853,87.57,9,25,12.55,scattered clouds
159,Moree,AU,2021-10-10 21:24:55,-29.4667,149.85,62.62,94,90,0.0,moderate rain
160,Baguanos,CU,2021-10-10 21:24:56,20.7517,-76.0269,82.69,50,98,4.85,overcast clouds
161,Muli,MV,2021-10-10 21:21:16,2.9167,73.5667,82.78,75,91,15.23,overcast clouds
162,Mumford,GH,2021-10-10 21:24:56,5.2618,-0.759,77.34,88,86,10.76,moderate rain
163,Bershet,RU,2021-10-10 21:24:56,57.7309,56.3783,40.26,94,99,3.4,overcast clouds
164,Lavrentiya,RU,2021-10-10 21:23:23,65.5833,-171.0,28.96,80,30,2.77,scattered clouds
165,Maturin,VE,2021-10-10 21:24:57,9.75,-63.1767,81.25,83,93,7.85,overcast clouds
166,Kokemaki,FI,2021-10-10 21:24:57,61.2565,22.3564,51.58,78,100,10.63,overcast clouds
167,Kalengwa,ZM,2021-10-10 21:24:57,-13.4659,25.0027,74.14,28,2,4.99,clear sky
168,Sao Joao Da Barra,BR,2021-10-10 21:24:58,-21.6403,-41.0511,68.09,91,100,16.28,overcast clouds
169,Dalaba,GN,2021-10-10 21:24:58,10.7,-12.25,65.26,90,98,0.76,light rain
170,Salamiyah,SY,2021-10-10 21:24:58,35.0113,37.0532,70.09,47,29,5.17,scattered clouds
171,Tilichiki,RU,2021-10-10 21:24:59,60.4667,166.1,26.4,72,83,4.38,broken clouds
172,Palapye,BW,2021-10-10 21:24:59,-22.546,27.1251,61.9,71,56,21.36,broken clouds
173,Constitucion,CL,2021-10-10 21:22:56,-35.3333,-72.4167,60.98,60,0,14.79,clear sky
174,Altay,CN,2021-10-10 21:24:59,47.8667,88.1167,37.06,44,91,5.14,overcast clouds
175,Maniitsoq,GL,2021-10-10 21:24:59,65.4167,-52.9,35.67,87,100,10.49,overcast clouds
176,Mogadishu,SO,2021-10-10 21:23:57,2.0371,45.3438,78.26,89,15,14.88,few clouds
177,Esperance,AU,2021-10-10 21:23:47,-33.8667,121.9,53.44,43,100,19.95,overcast clouds
178,Clyde River,CA,2021-10-10 21:21:50,70.4692,-68.5914,37.63,75,90,11.5,overcast clouds
